gender,butt_height,buttock-knee_length,buttock-popliteal_length,crotch_height,knee_height_midpatella,knee_height_sitting,lateral-femoral_epicondyle_height,popliteal_height,stature,trochanterion_height,wrist_height
f,843,583,467,761,453,521,459,377,1606,881,766
f,816,587,479,754,453,520,454,383,1578,873,765
f,782,550,454,727,449,488,445,379,1553,820,770
f,829,575,462,753,452,502,455,379,1640,869,833
f,839,591,480,759,444,501,450,382,1653,858,804
f,780,561,444,721,426,484,435,364,1596,822,787
f,849,618,503,803,477,536,471,394,1691,895,822
f,849,619,495,776,468,516,462,376,1654,887,795
f,785,546,446,714,421,474,421,366,1583,813,805
f,835,583,478,796,463,520,459,398,1708,882,867
f,836,572,462,752,452,501,449,390,1629,867,820
f,806,589,482,740,439,501,445,364,1650,867,806
f,808,577,466,725,449,496,440,367,1573,842,760
f,808,566,460,730,425,487,428,363,1583,836,794
f,858,633,522,822,469,533,474,392,1642,909,782
f,993,655,549,898,515,572,514,453,1764,1018,871
f,772,550,460,722,426,479,425,373,1530,804,722
f,771,559,451,707,409,474,418,348,1557,799,769
f,728,522,427,670,391,445,399,336,1483,772,716
f,841,586,471,761,466,511,458,378,1682,871,843
f,828,558,470,772,446,495,444,391,1576,847,753
f,802,578,469,744,431,493,442,375,1646,849,820
f,873,623,506,820,486,542,491,417,1772,927,890
f,910,642,529,848,490,546,493,423,1756,944,847
f,822,599,500,774,460,517,463,394,1638,876,785
f,867,615,512,777,476,528,466,394,1595,905,787
f,812,605,487,751,445,502,450,364,1602,855,767
f,945,650,529,861,505,575,508,430,1752,979,839
f,876,646,521,810,475,550,481,406,1671,925,800
f,919,611,498,826,495,549,498,424,1687,940,824
f,806,543,446,724,436,480,437,373,1550,836,747
f,840,598,485,781,462,527,472,407,1697,879,848
f,901,623,514,826,486,537,489,417,1731,917,835
f,775,563,463,729,425,485,438,376,1582,828,773
f,817,619,511,790,463,536,466,404,1657,881,811
f,792,554,448,721,438,485,434,363,1580,819,789
f,852,591,495,779,451,503,455,389,1576,873,753
f,934,666,534,869,511,565,511,418,1713,950,825
f,937,616,512,875,516,559,513,440,1768,966,893
f,828,597,492,767,472,522,466,398,1637,866,804
f,859,590,486,808,468,531,477,411,1708,900,829
f,856,597,478,792,490,533,476,403,1652,896,845
f,888,647,532,838,481,531,472,409,1712,933,787
f,763,558,458,683,397,458,405,343,1567,794,786
f,858,596,478,802,471,534,474,397,1706,887,842
f,837,602,500,772,465,521,464,400,1592,879,749
f,941,652,544,850,521,584,532,437,1763,973,842
f,791,571,457,731,430,495,444,374,1621,844,837
f,838,633,516,785,463,521,458,386,1707,877,835
f,862,613,495,789,478,531,471,392,1689,918,821
f,840,577,468,757,453,506,453,387,1606,869,781
f,877,649,526,797,477,551,482,394,1696,932,839
f,841,591,491,787,452,508,455,393,1598,885,721
f,908,643,529,834,502,562,496,412,1731,939,853
f,903,620,520,825,498,546,497,426,1707,935,867
f,863,644,516,778,458,512,459,366,1667,882,812
f,759,557,453,674,399,455,403,336,1485,774,736
f,809,566,458,757,440,507,454,382,1596,857,760
f,830,613,499,767,461,520,460,391,1626,882,781
f,879,643,533,801,474,533,475,402,1641,923,818
f,768,576,467,716,409,470,418,351,1510,831,759
f,921,643,535,857,505,565,512,422,1748,955,826
f,792,553,452,722,426,484,425,364,1546,826,704
f,800,593,478,740,440,511,453,383,1611,843,779
f,886,606,500,817,487,546,491,414,1642,913,798
f,907,637,524,817,491,551,501,414,1673,939,815
f,796,534,439,737,441,486,431,378,1549,815,755
f,836,605,487,776,434,516,445,380,1707,855,841
f,838,579,480,767,452,504,458,398,1574,855,738
f,814,586,469,727,445,501,444,370,1556,843,783
f,784,578,470,707,432,485,424,350,1489,811,673
f,804,562,463,750,444,502,442,380,1606,831,796
f,729,534,433,664,396,455,404,343,1483,757,714
f,810,576,462,748,442,496,440,373,1585,849,766
f,873,638,511,783,459,514,459,382,1610,904,810
f,901,636,523,845,492,554,493,439,1737,951,844
f,784,578,451,725,435,496,435,358,1564,819,755
f,751,558,444,670,398,455,404,329,1495,788,712
f,821,613,496,771,449,513,454,379,1570,855,766
f,934,622,517,860,486,551,495,432,1756,962,860
f,976,681,561,912,535,596,531,448,1782,1018,875
f,775,538,436,713,419,473,426,361,1498,810,709
f,838,618,502,779,464,526,460,395,1682,883,855
f,900,620,512,838,485,552,488,431,1664,922,776
f,797,595,484,752,429,491,428,363,1596,837,736
f,819,599,497,768,443,503,439,373,1576,853,748
f,792,575,458,721,420,480,423,352,1581,823,776
f,848,564,452,780,462,515,469,397,1613,868,803
f,898,627,520,815,492,544,488,410,1632,936,766
f,838,603,492,794,490,543,486,413,1703,893,867
f,797,587,478,729,428,500,444,370,1613,845,799
f,776,566,450,726,420,487,435,356,1599,818,804
f,833,597,496,748,446,504,443,381,1588,871,805
f,845,581,470,779,462,523,469,391,1623,889,795
f,824,570,468,775,457,510,460,396,1600,852,775
f,843,599,488,773,453,515,457,391,1600,874,784
f,892,646,540,832,486,535,477,411,1635,923,801
f,978,664,545,888,517,576,520,454,1787,990,894
f,807,591,475,743,438,504,445,368,1610,840,792
f,797,567,458,731,438,489,436,368,1534,829,747
f,972,663,535,904,520,589,531,456,1793,1011,893
f,790,537,435,722,441,488,444,372,1515,806,730
f,839,584,471,765,461,522,463,388,1640,872,798
f,842,578,475,796,477,538,480,405,1630,879,767
f,793,564,464,752,452,504,449,388,1522,827,725
f,786,551,451,730,439,490,431,369,1575,825,787
f,806,566,471,761,461,508,451,394,1613,838,776
f,792,570,463,711,429,476,429,351,1543,829,738
f,788,552,452,739,451,498,444,389,1617,833,783
f,862,604,501,797,485,529,477,411,1623,899,779
f,820,578,470,770,454,503,444,372,1607,860,800
f,764,552,441,697,414,475,416,356,1537,787,746
f,746,528,424,700,405,460,408,352,1545,775,747
f,939,650,541,873,525,576,513,439,1743,986,858
f,834,579,467,778,458,522,467,405,1612,866,769
f,919,648,533,850,511,557,502,421,1706,953,831
f,840,583,473,771,457,513,466,384,1635,888,783
f,800,587,483,739,448,496,445,375,1563,848,730
f,777,563,460,721,443,492,444,368,1569,822,767
f,844,585,493,775,448,506,457,394,1552,876,741
f,804,560,459,736,434,495,436,375,1598,833,753
f,777,552,444,719,418,471,425,356,1528,807,739
f,844,607,483,777,454,526,463,372,1654,879,815
f,882,628,509,825,481,535,485,405,1645,928,817
f,818,582,479,757,433,488,439,379,1578,838,740
f,880,595,492,818,506,544,493,424,1658,908,827
f,786,570,450,698,431,491,429,348,1538,820,751
f,797,557,459,725,434,492,440,376,1564,825,756
f,814,575,453,738,448,502,454,360,1624,850,797
f,873,624,502,796,474,534,468,398,1740,909,847
f,811,585,485,753,429,491,432,365,1575,828,785
f,855,590,482,772,450,516,458,387,1610,874,780
f,815,587,471,756,438,512,455,385,1642,846,790
f,875,623,502,797,466,529,473,389,1705,911,833
f,786,552,444,734,445,490,441,375,1561,833,771
f,847,568,471,786,466,514,461,402,1627,888,812
f,844,573,463,798,470,522,472,402,1682,886,848
f,938,662,538,885,535,580,527,427,1770,982,823
f,857,605,487,802,475,531,472,396,1685,900,817
f,861,604,483,797,474,526,471,386,1670,896,801
f,812,569,470,732,428,486,433,375,1560,847,740
f,796,589,484,747,441,499,445,382,1603,843,784
f,802,579,464,730,431,489,438,363,1612,837,783
f,779,545,422,691,415,484,428,351,1603,823,787
f,857,605,485,785,468,537,475,398,1672,906,850
f,868,617,508,810,485,543,484,418,1673,917,803
f,934,618,513,891,526,587,528,470,1746,973,852
f,815,569,456,742,458,508,454,382,1570,856,783
f,869,626,514,793,462,515,454,381,1668,900,827
f,861,592,487,793,476,523,475,402,1672,891,831
f,830,579,472,775,446,504,451,386,1623,864,803
f,802,563,463,757,431,484,441,379,1573,848,753
f,812,587,475,731,446,502,440,376,1580,853,764
f,839,583,472,781,473,522,472,399,1656,867,810
f,867,590,488,799,478,521,471,396,1606,892,800
f,868,610,500,791,472,526,472,383,1637,920,775
f,830,591,494,762,447,505,453,389,1566,865,743
f,859,597,482,813,479,532,478,405,1685,901,821
f,771,562,455,723,434,490,436,349,1492,814,729
f,839,573,475,761,477,524,474,406,1660,877,835
f,868,622,515,761,470,524,468,394,1633,874,869
f,807,566,451,737,438,508,444,376,1593,840,775
f,801,583,475,739,439,493,433,359,1538,834,722
f,903,649,537,829,490,549,489,409,1706,942,838
f,862,577,476,785,456,513,462,400,1655,872,816
f,854,592,480,802,488,546,484,415,1733,885,867
f,849,598,487,783,456,519,458,396,1629,862,762
f,818,602,485,735,446,510,448,374,1628,835,795
f,934,639,535,880,516,569,512,433,1787,955,865
f,850,575,469,782,466,515,468,395,1628,871,812
f,830,577,472,773,458,518,458,401,1654,854,855
f,882,618,506,801,468,534,470,405,1712,904,850
f,866,589,482,821,481,537,484,421,1695,900,836
f,812,569,475,742,443,494,449,388,1605,843,790
f,802,587,475,760,446,503,444,377,1590,830,791
f,909,620,513,834,492,554,505,433,1692,917,795
f,839,595,486,774,453,509,453,391,1610,863,765
f,872,619,519,811,472,525,475,406,1674,907,807
f,790,556,455,729,440,492,443,372,1559,810,732
f,869,592,481,812,482,540,477,410,1713,892,856
f,837,595,491,797,457,522,463,398,1641,854,773
f,861,584,485,815,469,523,464,405,1623,892,788
f,873,606,505,792,467,528,469,400,1636,894,804
f,846,599,486,773,451,512,454,385,1628,865,777
f,797,598,483,739,427,493,435,364,1553,821,732
f,808,542,441,747,432,477,433,374,1563,820,751
f,855,604,502,794,478,527,474,408,1658,886,811
f,812,559,443,732,432,494,441,371,1560,839,735
f,892,606,503,840,496,551,497,429,1738,926,835
f,820,574,464,751,448,508,442,387,1590,839,737
f,851,587,481,776,451,504,449,384,1600,873,804
f,884,647,518,802,481,555,487,403,1683,916,803
f,871,607,500,806,472,527,470,403,1625,897,751
f,839,594,482,749,448,509,453,385,1623,869,793
f,799,599,493,721,439,494,433,356,1580,815,765
f,874,619,510,785,486,548,485,422,1726,908,853
f,818,568,463,750,442,502,445,378,1593,834,822
f,845,588,475,792,464,531,464,385,1578,871,763
f,899,647,526,848,508,559,503,429,1717,936,846
f,815,606,492,762,446,515,451,386,1618,847,750
f,885,620,515,832,486,542,487,424,1676,905,807
f,839,581,478,761,458,508,461,383,1596,850,773
f,847,617,502,799,467,525,464,396,1684,866,820
f,768,560,454,698,424,471,423,347,1511,800,741
f,809,557,459,742,456,499,450,390,1605,819,787
f,782,577,463,717,432,487,428,355,1578,807,758
f,915,659,538,836,506,564,499,413,1719,932,806
f,850,574,474,771,459,505,456,391,1660,865,840
f,844,603,495,782,460,520,461,388,1624,861,801
f,822,566,452,750,453,506,454,379,1586,849,759
f,803,551,434,722,448,504,447,375,1572,817,782
f,863,603,498,812,465,523,462,404,1683,889,842
f,894,617,495,822,500,562,495,412,1763,916,866
f,818,573,457,779,454,518,458,380,1575,840,720
f,845,599,496,776,470,533,465,407,1713,882,858
f,820,571,466,757,456,511,449,385,1602,839,791
f,921,621,510,818,502,559,502,433,1772,921,845
f,849,588,485,777,471,520,468,395,1616,872,780
f,755,556,446,715,423,477,423,352,1510,780,703
f,878,618,518,798,474,530,465,402,1671,892,816
f,797,558,450,711,452,497,445,378,1570,831,758
f,850,598,482,761,466,522,464,383,1667,875,842
f,881,645,515,799,464,535,471,399,1674,904,830
f,734,546,451,678,407,457,405,343,1494,755,727
f,853,616,506,786,477,532,473,392,1695,880,817
f,795,553,461,726,439,482,433,369,1552,817,742
f,852,617,511,802,498,546,483,417,1699,883,792
f,783,561,451,695,417,472,421,345,1562,797,796
f,878,629,525,816,477,545,486,414,1749,908,848
f,859,574,480,800,468,520,471,410,1664,886,826
f,794,570,472,735,437,494,441,374,1585,824,794
f,836,584,480,761,455,498,451,376,1558,845,757
f,888,632,513,838,497,553,494,411,1674,926,784
f,775,552,456,715,436,488,430,367,1549,799,766
f,832,586,485,781,457,517,458,397,1670,851,831
f,824,590,487,749,445,510,451,378,1609,837,791
f,852,632,505,782,451,520,455,360,1683,882,828
f,826,627,509,765,459,509,460,367,1655,848,797
f,803,573,462,721,426,493,437,363,1599,819,775
f,857,616,512,783,462,519,470,409,1621,883,786
f,856,606,487,770,468,533,468,405,1701,880,846
f,800,565,471,747,454,509,458,385,1590,825,756
f,814,579,467,755,448,504,450,382,1638,834,781
f,776,556,458,719,427,494,427,367,1596,791,750
f,846,617,518,779,469,524,462,401,1643,872,788
f,860,606,495,820,485,548,485,418,1678,885,795
f,835,574,460,757,459,513,457,376,1593,848,774
f,823,598,500,798,457,519,461,400,1677,853,815
f,752,517,420,694,426,478,420,349,1545,781,760
f,834,608,498,762,440,509,450,377,1582,844,721
f,755,534,431,666,417,460,408,338,1525,765,723
f,836,594,488,785,462,525,470,400,1672,866,813
f,764,550,449,721,428,489,429,367,1590,782,761
f,842,620,518,782,467,518,457,384,1620,865,755
f,874,592,490,807,470,522,476,418,1711,888,841
f,866,605,494,797,487,541,478,408,1712,894,828
f,795,582,466,751,445,509,452,374,1592,835,728
f,885,620,508,800,482,526,476,397,1734,882,857
f,858,599,498,810,474,523,471,401,1681,891,814
f,888,620,505,822,488,544,483,404,1660,899,768
f,883,634,523,839,497,554,499,420,1730,923,826
f,807,560,450,736,442,497,437,360,1593,821,804
f,911,613,507,849,509,551,502,433,1652,917,813
f,804,563,464,739,442,489,438,365,1585,824,783
f,793,553,457,758,432,492,435,379,1575,818,794
f,858,594,495,796,478,537,485,415,1653,879,804
f,821,572,469,765,461,517,456,405,1624,840,803
f,905,654,537,810,498,554,484,408,1689,916,802
f,742,509,422,664,419,465,420,361,1475,762,676
f,809,583,472,749,446,502,445,370,1598,838,775
f,891,610,506,814,473,532,479,412,1636,901,756
f,800,568,454,718,424,484,419,350,1555,819,762
f,802,570,455,714,424,476,426,350,1595,815,805
f,909,607,506,833,490,541,490,421,1648,931,747
f,819,566,473,765,440,496,444,384,1648,847,772
f,835,587,485,774,457,515,460,395,1646,857,810
f,795,552,451,740,448,508,452,400,1554,826,738
f,861,596,489,812,486,534,482,411,1676,889,819
f,819,567,461,786,470,515,465,393,1682,854,824
f,866,601,497,815,470,537,476,419,1692,893,788
f,793,574,471,727,418,477,429,352,1618,812,790
f,825,578,477,761,465,519,464,391,1647,847,791
f,813,575,467,744,443,496,439,364,1550,835,780
f,717,517,413,653,404,456,401,332,1464,745,736
f,867,608,503,780,459,518,458,391,1684,879,832
f,942,624,522,885,522,575,523,463,1726,964,822
f,821,579,475,773,445,500,450,378,1648,845,810
f,885,615,506,844,495,559,498,430,1734,914,819
f,919,653,541,832,496,548,497,410,1675,936,819
f,763,555,453,700,436,486,423,363,1537,790,741
f,831,566,473,773,444,499,443,392,1662,851,815
f,810,586,485,751,462,505,455,385,1619,836,792
f,830,605,499,783,467,526,476,401,1601,870,750
f,842,587,486,768,456,507,455,382,1654,863,826
f,830,610,501,760,455,517,460,382,1685,857,827
f,944,646,533,866,524,583,519,442,1767,972,838
f,868,610,515,807,469,521,467,401,1714,894,850
f,845,588,471,770,474,530,471,393,1603,864,772
f,830,580,460,770,449,517,458,383,1676,864,809
f,827,578,480,752,437,497,448,377,1565,850,758
f,787,544,443,737,440,490,441,381,1623,816,800
f,795,558,456,717,432,483,435,368,1583,820,742
f,812,591,483,741,447,512,448,380,1618,837,787
f,901,603,497,832,487,540,490,419,1686,935,825
f,844,578,474,797,471,529,470,396,1695,876,814
f,849,596,480,771,467,525,464,393,1636,865,773
f,863,569,462,801,478,520,473,403,1632,879,771
f,925,626,508,831,500,557,504,419,1662,933,808
f,849,613,513,775,465,528,470,406,1648,865,783
f,825,557,452,755,459,509,454,383,1585,843,747
f,901,641,525,835,501,562,504,413,1717,922,842
f,842,597,465,753,468,517,461,378,1653,866,813
f,772,589,475,703,415,477,418,338,1568,790,797
f,869,613,494,798,489,552,478,407,1678,893,811
f,782,561,448,715,417,485,427,354,1596,810,776
f,762,533,433,708,423,474,421,359,1526,792,759
f,770,545,441,719,421,478,422,358,1507,801,727
f,899,597,493,839,498,551,496,439,1686,925,868
f,805,559,457,747,450,501,449,384,1648,835,822
f,814,601,484,777,445,504,452,383,1633,841,802
f,880,618,508,823,491,553,496,420,1681,901,829
f,854,610,507,791,475,518,463,393,1624,868,767
f,867,613,495,786,471,538,474,412,1732,892,855
f,856,587,482,797,461,520,465,403,1692,871,844
f,808,565,460,735,450,503,443,380,1607,835,800
f,847,629,526,801,474,526,466,391,1616,875,799
f,770,524,422,712,425,480,424,357,1600,792,797
f,824,592,483,764,446,498,448,366,1622,858,783
f,817,586,491,757,434,490,433,374,1557,834,775
f,787,564,453,707,437,487,434,353,1479,809,698
f,880,650,551,815,483,541,489,429,1669,903,816
f,835,584,476,759,451,503,447,383,1622,857,789
f,921,610,502,845,499,553,497,416,1691,933,833
f,858,614,478,785,459,516,450,368,1572,876,749
f,840,578,479,773,465,513,460,396,1611,862,773
f,802,568,455,720,429,484,421,349,1548,820,750
f,849,604,504,783,468,531,475,404,1673,872,810
f,871,619,511,807,474,527,466,405,1686,891,791
f,888,597,484,816,489,548,491,428,1648,902,815
f,834,588,484,758,452,511,453,384,1590,845,776
f,783,561,459,735,438,485,432,372,1634,810,803
f,895,601,490,832,501,556,492,434,1669,915,794
f,856,609,504,818,476,530,475,407,1675,883,830
f,801,581,480,738,445,505,448,375,1607,825,781
f,878,609,501,783,463,524,462,389,1645,886,815
f,887,616,503,804,492,543,487,414,1662,911,787
f,829,586,475,778,461,516,456,381,1656,862,803
f,815,568,463,756,442,497,444,379,1620,835,791
f,899,633,523,845,501,550,494,423,1692,918,817
f,821,602,504,750,445,510,443,381,1627,829,813
f,875,622,515,818,481,535,474,412,1682,899,805
f,780,554,454,729,431,481,435,362,1604,805,808
f,968,659,550,876,518,575,514,434,1741,986,821
f,926,636,531,843,495,552,491,432,1703,949,810
f,787,557,438,712,426,487,425,339,1572,804,763
f,815,585,483,747,440,502,443,365,1529,837,724
f,777,580,475,717,424,485,426,358,1578,802,775
f,897,608,510,840,492,555,496,429,1686,916,781
f,874,628,524,805,466,539,480,413,1678,891,761
f,863,582,473,804,478,530,475,402,1678,890,834
f,764,543,440,723,434,488,438,372,1559,786,779
f,866,633,527,807,477,529,480,398,1618,883,789
f,811,582,476,766,453,506,456,384,1639,846,779
f,879,643,531,815,483,536,472,400,1649,906,780
f,835,583,483,792,453,513,464,401,1662,859,819
f,846,636,518,776,483,532,485,400,1666,875,857
f,904,635,513,824,508,577,508,426,1698,925,850
f,900,627,504,826,485,541,482,416,1707,922,846
f,790,552,451,722,437,494,436,368,1562,811,781
f,771,551,460,709,419,474,420,359,1551,803,788
f,848,597,490,763,459,515,455,386,1652,867,793
f,853,639,528,777,481,534,474,388,1644,878,791
f,836,587,477,739,447,504,452,373,1565,857,750
f,902,636,531,838,493,550,489,425,1684,916,779
f,836,583,481,759,443,513,459,385,1591,857,766
f,863,631,525,773,476,530,472,400,1686,877,820
f,926,648,536,854,503,565,507,435,1732,940,856
f,793,568,469,734,454,507,455,385,1600,833,799
f,830,609,503,776,460,517,457,388,1605,860,770
f,797,597,488,755,459,512,456,369,1607,842,759
f,872,586,479,814,474,525,466,396,1679,891,817
f,795,540,440,719,437,492,436,373,1602,815,795
f,833,601,497,790,463,515,463,391,1658,865,800
f,818,565,461,758,447,499,449,387,1620,834,794
f,926,648,536,866,528,580,518,436,1792,948,890
f,772,561,457,732,421,486,427,362,1565,803,755
f,820,584,478,770,463,504,453,389,1606,842,764
f,787,583,463,722,424,488,430,343,1586,807,806
f,842,576,458,782,464,530,466,398,1618,865,755
f,970,679,555,898,531,600,533,454,1870,991,939
f,848,620,509,765,468,518,465,385,1624,878,778
f,888,636,526,825,508,563,500,427,1684,919,821
f,840,594,493,791,472,523,469,393,1610,863,762
f,783,601,486,718,441,491,432,352,1569,805,807
f,862,604,487,781,473,532,473,385,1667,880,810
f,762,533,438,709,428,482,423,367,1512,780,749
f,827,576,465,760,470,520,463,388,1569,840,774
f,871,607,492,775,478,523,470,389,1600,897,778
f,811,586,478,731,463,516,459,382,1609,839,776
f,824,616,500,771,441,505,443,357,1577,846,753
f,851,587,494,789,468,522,471,408,1612,877,776
f,784,540,449,717,430,488,438,368,1538,800,761
f,871,580,461,794,484,541,477,406,1645,888,788
f,875,615,511,814,477,527,482,394,1660,886,808
f,815,591,463,740,440,504,436,351,1589,835,774
f,837,606,499,770,459,520,459,384,1643,863,803
f,802,578,470,720,427,475,430,348,1620,821,784
f,821,573,476,769,455,507,446,392,1611,845,778
f,865,617,499,805,489,548,486,403,1736,893,834
f,883,616,508,810,478,540,489,415,1679,903,793
f,792,584,479,758,426,500,431,364,1608,815,778
f,831,621,494,767,452,509,452,355,1661,859,827
f,809,585,469,743,445,497,436,352,1559,831,742
f,844,571,474,776,452,501,448,383,1540,857,746
f,788,581,469,727,427,486,437,354,1574,810,755
f,810,605,493,764,457,520,467,393,1595,845,764
f,855,594,496,787,470,527,471,409,1654,874,766
f,857,607,508,796,456,507,453,392,1650,886,841
f,812,589,466,739,445,516,450,359,1644,830,827
f,798,595,476,740,447,491,441,357,1599,825,756
f,880,640,519,801,484,538,483,404,1640,909,800
f,842,581,478,761,462,520,458,392,1638,862,818
f,798,559,470,755,440,490,442,382,1586,830,758
f,880,603,497,808,476,533,481,413,1655,888,820
f,821,601,493,756,446,500,444,369,1646,848,845
f,865,620,520,798,474,528,476,405,1668,883,815
f,850,598,492,783,455,517,459,390,1632,869,798
f,934,628,521,880,516,563,515,446,1714,964,835
f,845,579,471,795,459,519,470,391,1605,867,775
f,911,639,518,803,497,548,482,398,1644,920,775
f,787,550,453,721,431,484,438,366,1582,808,772
f,835,569,466,772,465,513,463,392,1612,850,764
f,990,691,568,919,537,605,533,456,1778,1012,848
f,891,614,505,859,496,546,497,424,1717,919,823
f,770,558,459,721,445,489,436,363,1565,793,759
f,832,587,477,773,461,517,461,392,1609,858,764
f,850,601,497,780,461,522,463,394,1651,882,824
f,787,571,464,742,430,488,437,367,1618,816,782
f,931,641,528,869,531,578,519,444,1752,974,811
f,821,597,482,775,464,524,468,397,1606,869,735
f,828,578,478,764,460,512,461,401,1610,860,756
f,862,597,488,792,477,528,475,408,1702,897,847
f,902,639,518,821,504,562,493,411,1712,930,798
f,946,644,534,874,521,573,520,445,1706,982,830
f,815,570,473,752,451,511,456,390,1570,836,774
f,853,600,492,773,461,527,473,391,1604,880,790
f,813,581,470,743,445,497,443,359,1650,837,813
f,829,617,508,782,460,517,458,388,1643,852,783
f,871,590,481,798,489,534,486,409,1613,890,787
f,913,637,517,816,500,562,495,413,1661,934,805
f,815,589,479,752,456,507,449,366,1607,844,797
f,779,559,459,698,434,485,427,356,1561,792,743
f,788,567,470,726,436,495,445,377,1606,802,769
f,757,527,427,684,411,467,407,343,1480,777,737
f,861,592,494,812,479,528,475,415,1648,889,774
f,821,600,489,773,457,518,463,385,1626,851,824
f,803,565,459,730,442,484,449,372,1563,821,779
f,867,604,499,811,495,553,494,427,1633,888,806
f,888,623,516,791,484,527,481,401,1685,908,805
f,847,628,515,794,482,532,486,405,1721,880,858
f,831,580,478,785,456,519,464,401,1615,850,759
f,856,595,497,789,476,523,473,403,1626,880,781
f,845,590,488,809,465,525,461,397,1630,870,767
f,795,575,475,746,433,498,446,377,1599,815,760
f,890,618,507,828,502,549,486,417,1657,905,815
f,798,569,458,733,443,497,440,367,1583,821,773
f,738,548,445,662,402,465,410,344,1513,759,733
f,810,576,467,736,430,489,436,364,1598,835,789
f,824,571,455,753,461,518,451,395,1617,844,773
f,916,638,529,855,499,560,504,428,1677,932,807
f,784,535,428,727,444,490,434,365,1576,805,763
f,901,598,495,825,505,557,502,437,1705,933,820
f,906,637,531,835,495,556,494,426,1732,937,864
f,857,588,485,790,480,522,478,393,1682,884,826
f,837,605,486,774,452,518,458,381,1570,862,750
f,826,589,480,774,453,520,458,396,1646,854,776
f,898,654,530,833,483,553,485,402,1689,920,811
f,788,554,445,724,438,488,435,365,1621,809,791
f,809,567,445,760,466,519,456,392,1572,837,741
f,810,571,466,748,431,486,436,369,1560,824,743
f,784,550,459,725,430,485,431,373,1579,813,760
f,873,584,486,794,471,530,481,413,1728,898,855
f,854,596,492,788,472,526,470,400,1667,868,811
f,856,583,483,802,484,535,477,413,1617,885,751
f,832,560,464,770,447,503,454,393,1581,856,710
f,842,578,476,796,466,523,462,402,1701,873,831
f,864,567,463,803,474,532,476,413,1675,880,796
f,824,592,488,770,444,499,443,376,1567,839,760
f,807,553,463,762,444,505,451,391,1555,824,767
f,824,587,481,756,455,518,455,377,1616,854,797
f,774,555,444,708,421,478,424,355,1537,802,736
f,854,611,505,807,460,511,468,400,1666,888,801
f,833,592,490,778,455,502,449,385,1602,862,768
f,929,640,528,865,519,583,523,452,1756,957,868
f,850,600,498,791,479,524,471,402,1676,875,823
f,797,578,465,747,444,510,446,377,1628,825,803
f,873,617,495,803,498,550,493,401,1700,894,791
f,778,559,452,698,419,476,413,350,1578,803,770
f,835,596,492,750,451,509,450,380,1657,853,812
f,802,554,452,755,448,499,443,372,1584,838,765
f,867,590,488,819,480,531,481,414,1714,894,863
f,885,652,538,824,480,567,492,420,1738,913,865
f,824,582,463,725,432,494,442,358,1579,830,791
f,856,604,488,783,463,523,468,390,1660,883,782
f,817,584,482,731,429,492,438,372,1561,836,737
f,862,613,489,795,465,525,457,372,1645,866,801
f,807,619,509,752,448,515,442,378,1685,833,834
f,880,618,512,806,473,536,479,404,1642,902,778
f,892,608,510,845,495,545,490,424,1642,916,778
f,789,534,444,739,433,489,434,380,1568,807,744
f,848,593,496,800,468,522,466,407,1587,879,747
f,868,607,496,811,490,538,478,400,1710,898,823
f,781,555,446,719,424,480,425,351,1558,805,780
f,864,608,493,799,473,536,472,403,1700,910,822
f,820,579,479,752,445,498,435,379,1555,841,760
f,808,561,457,728,430,493,428,362,1587,819,814
f,806,556,455,744,421,481,422,367,1552,830,742
f,940,656,549,891,502,566,507,436,1776,963,880
f,814,601,497,752,439,507,442,382,1562,845,753
f,895,610,513,827,486,542,488,415,1673,915,840
f,843,592,494,773,462,516,463,405,1662,872,833
f,905,627,516,844,500,553,497,422,1669,925,757
f,876,622,515,794,479,534,480,413,1701,896,833
f,802,572,471,738,436,489,437,368,1628,828,790
f,830,575,481,764,465,507,459,400,1622,852,790
f,833,563,468,760,450,500,450,380,1567,848,755
f,849,607,486,791,466,515,470,381,1711,879,843
f,838,617,510,781,455,516,460,384,1654,862,813
f,853,627,524,807,463,523,459,390,1652,880,804
f,797,575,478,723,424,479,424,365,1578,819,775
f,855,618,507,780,471,526,466,375,1680,865,805
f,844,572,469,786,454,515,460,394,1597,863,766
f,815,592,487,756,449,507,450,394,1597,834,764
f,802,585,470,739,426,488,432,360,1557,817,738
f,892,608,506,834,478,540,484,416,1762,913,874
f,863,594,487,807,464,523,472,399,1667,891,803
f,730,529,426,672,403,470,407,349,1540,746,791
f,808,558,454,739,458,501,448,376,1618,836,813
f,807,587,495,742,436,490,433,382,1589,825,774
f,845,577,476,768,463,511,464,389,1570,859,717
f,833,604,497,778,471,530,467,386,1635,872,806
f,798,580,475,755,441,498,442,374,1592,824,745
f,803,558,460,748,458,510,457,388,1595,829,778
f,795,534,441,727,435,483,433,369,1565,806,767
f,849,616,506,783,462,516,458,382,1652,880,783
f,837,578,480,765,461,515,461,393,1636,861,801
f,842,590,482,800,469,527,467,410,1712,863,802
f,927,648,540,862,511,573,505,435,1740,948,800
f,877,602,499,832,480,526,476,408,1668,898,798
f,813,585,474,777,451,518,441,376,1578,842,790
f,820,593,489,759,447,501,442,381,1593,838,769
f,829,574,469,762,451,500,446,377,1615,845,804
f,854,616,510,800,480,538,478,409,1652,898,809
f,825,604,492,766,451,512,450,376,1622,843,801
f,894,637,526,819,481,541,478,402,1658,910,799
f,801,581,461,740,428,484,430,352,1557,824,761
